"grp" "aphgrp" "subj" "contr" "sent" "item" "seg" "acc" "rt" "senttype"
"1891" "EC" "EC" 24001 "SOSS" "SS" 17 "e" 1 357 "base"
"1892" "EC" "EC" 24001 "SOSS" "SS" 17 "f" 1 NA "base"
"1893" "EC" "EC" 24001 "SOSS" "SS" 18 "a" 1 233 "base"
"1894" "EC" "EC" 24001 "SOSS" "SS" 18 "b" 1 311 "base"
"1895" "EC" "EC" 24001 "SOSS" "SS" 18 "c" 1 379 "base"
"1896" "EC" "EC" 24001 "SOSS" "SS" 18 "d" 1 301 "base"
"1897" "EC" "EC" 24001 "SOSS" "SS" 18 "e" 1 301 "base"
"1898" "EC" "EC" 24001 "SOSS" "SS" 18 "f" 1 NA "base"
"1899" "EC" "EC" 24001 "SOSS" "SS" 19 "a" 1 376 "base"
"1900" "EC" "EC" 24001 "SOSS" "SS" 19 "b" 1 496 "base"
"1901" "EC" "EC" 24001 "SOSS" "SS" 19 "c" 1 383 "base"
"1902" "EC" "EC" 24001 "SOSS" "SS" 19 "d" 1 597 "base"
"1903" "EC" "EC" 24001 "SOSS" "SS" 19 "e" 1 463 "base"
"1904" "EC" "EC" 24001 "SOSS" "SS" 19 "f" 1 NA "base"
"1905" "EC" "EC" 24001 "SOSS" "SS" 20 "a" 1 256 "base"
"1906" "EC" "EC" 24001 "SOSS" "SS" 20 "b" 1 309 "base"
"1907" "EC" "EC" 24001 "SOSS" "SS" 20 "c" 1 222 "base"
"1908" "EC" "EC" 24001 "SOSS" "SS" 20 "d" 1 219 "base"
"1909" "EC" "EC" 24001 "SOSS" "SS" 20 "e" 1 263 "base"
"1910" "EC" "EC" 24001 "SOSS" "SS" 20 "f" 1 NA "base"
"4053" "EC" "EC" 24002 "SOSS" "SO" 1 "a" 1 1116 "expt"
"4054" "EC" "EC" 24002 "SOSS" "SO" 1 "b" 1 287 "expt"
"4055" "EC" "EC" 24002 "SOSS" "SO" 1 "c" 1 69 "expt"
"4056" "EC" "EC" 24002 "SOSS" "SO" 1 "d" 1 185 "expt"
"4057" "EC" "EC" 24002 "SOSS" "SO" 1 "e" 1 263 "expt"
"4058" "EC" "EC" 24002 "SOSS" "SO" 1 "f" 1 NA "expt"
"4059" "EC" "EC" 24002 "SOSS" "SO" 2 "a" 1 460 "expt"
"4060" "EC" "EC" 24002 "SOSS" "SO" 2 "b" 1 367 "expt"
"4061" "EC" "EC" 24002 "SOSS" "SO" 2 "c" 1 192 "expt"
"4062" "EC" "EC" 24002 "SOSS" "SO" 2 "d" 1 176 "expt"
"4063" "EC" "EC" 24002 "SOSS" "SO" 2 "e" 1 344 "expt"
"4064" "EC" "EC" 24002 "SOSS" "SO" 2 "f" 1 NA "expt"
"4065" "EC" "EC" 24002 "SOSS" "SO" 3 "a" 1 137 "expt"
"4066" "EC" "EC" 24002 "SOSS" "SO" 3 "b" 1 357 "expt"
"4067" "EC" "EC" 24002 "SOSS" "SO" 3 "c" 1 125 "expt"
"4068" "EC" "EC" 24002 "SOSS" "SO" 3 "d" 1 283 "expt"
"4069" "EC" "EC" 24002 "SOSS" "SO" 3 "e" 1 359 "expt"
"4070" "EC" "EC" 24002 "SOSS" "SO" 3 "f" 1 NA "expt"
"4071" "EC" "EC" 24002 "SOSS" "SO" 4 "a" 1 314 "expt"
"4072" "EC" "EC" 24002 "SOSS" "SO" 4 "b" 1 336 "expt"
"4073" "EC" "EC" 24002 "SOSS" "SO" 4 "c" 1 215 "expt"
"4074" "EC" "EC" 24002 "SOSS" "SO" 4 "d" 1 284 "expt"
"4075" "EC" "EC" 24002 "SOSS" "SO" 4 "e" 1 226 "expt"
"4076" "EC" "EC" 24002 "SOSS" "SO" 4 "f" 1 NA "expt"
"4077" "EC" "EC" 24002 "SOSS" "SO" 5 "a" 1 162 "expt"
"4078" "EC" "EC" 24002 "SOSS" "SO" 5 "b" 1 393 "expt"
"4079" "EC" "EC" 24002 "SOSS" "SO" 5 "c" 1 160 "expt"
"4080" "EC" "EC" 24002 "SOSS" "SO" 5 "d" 1 440 "expt"
"4081" "EC" "EC" 24002 "SOSS" "SO" 5 "e" 1 239 "expt"
"4082" "EC" "EC" 24002 "SOSS" "SO" 5 "f" 1 NA "expt"
"4083" "EC" "EC" 24002 "SOSS" "SO" 6 "a" 1 1257 "expt"
"4084" "EC" "EC" 24002 "SOSS" "SO" 6 "b" 1 216 "expt"
"4085" "EC" "EC" 24002 "SOSS" "SO" 6 "c" 1 125 "expt"
"4086" "EC" "EC" 24002 "SOSS" "SO" 6 "d" 1 239 "expt"
"4087" "EC" "EC" 24002 "SOSS" "SO" 6 "e" 1 118 "expt"
"4088" "EC" "EC" 24002 "SOSS" "SO" 6 "f" 1 NA "expt"
"4089" "EC" "EC" 24002 "SOSS" "SO" 7 "a" 1 899 "expt"
"4090" "EC" "EC" 24002 "SOSS" "SO" 7 "b" 1 289 "expt"
"4091" "EC" "EC" 24002 "SOSS" "SO" 7 "c" 1 23 "expt"
"4092" "EC" "EC" 24002 "SOSS" "SO" 7 "d" 1 389 "expt"
"4093" "EC" "EC" 24002 "SOSS" "SO" 7 "e" 1 377 "expt"
"4094" "EC" "EC" 24002 "SOSS" "SO" 7 "f" 1 NA "expt"
"4095" "EC" "EC" 24002 "SOSS" "SO" 8 "a" 1 287 "expt"
"4096" "EC" "EC" 24002 "SOSS" "SO" 8 "b" 1 385 "expt"
"4097" "EC" "EC" 24002 "SOSS" "SO" 8 "c" 1 140 "expt"
"4098" "EC" "EC" 24002 "SOSS" "SO" 8 "d" 1 202 "expt"
"4099" "EC" "EC" 24002 "SOSS" "SO" 8 "e" 1 289 "expt"
"4100" "EC" "EC" 24002 "SOSS" "SO" 8 "f" 1 NA "expt"
"4101" "EC" "EC" 24002 "SOSS" "SO" 9 "a" 1 804 "expt"
"4102" "EC" "EC" 24002 "SOSS" "SO" 9 "b" 1 273 "expt"
"4103" "EC" "EC" 24002 "SOSS" "SO" 9 "c" 1 196 "expt"
"4104" "EC" "EC" 24002 "SOSS" "SO" 9 "d" 1 289 "expt"
"4105" "EC" "EC" 24002 "SOSS" "SO" 9 "e" 1 307 "expt"
"4106" "EC" "EC" 24002 "SOSS" "SO" 9 "f" 1 NA "expt"
"4107" "EC" "EC" 24002 "SOSS" "SO" 10 "a" 1 461 "expt"
"4108" "EC" "EC" 24002 "SOSS" "SO" 10 "b" 1 240 "expt"
"4109" "EC" "EC" 24002 "SOSS" "SO" 10 "c" 1 670 "expt"
"4110" "EC" "EC" 24002 "SOSS" "SO" 10 "d" 1 2 "expt"
"4111" "EC" "EC" 24002 "SOSS" "SO" 10 "e" 1 172 "expt"
"4112" "EC" "EC" 24002 "SOSS" "SO" 10 "f" 1 NA "expt"
"4113" "EC" "EC" 24002 "SOSS" "SO" 11 "a" 1 137 "expt"
"4114" "EC" "EC" 24002 "SOSS" "SO" 11 "b" 1 173 "expt"
"4115" "EC" "EC" 24002 "SOSS" "SO" 11 "c" 1 206 "expt"
"4116" "EC" "EC" 24002 "SOSS" "SO" 11 "d" 1 5 "expt"
"4117" "EC" "EC" 24002 "SOSS" "SO" 11 "e" 1 339 "expt"
"4118" "EC" "EC" 24002 "SOSS" "SO" 11 "f" 1 NA "expt"
"4119" "EC" "EC" 24002 "SOSS" "SO" 12 "a" 1 631 "expt"
"4120" "EC" "EC" 24002 "SOSS" "SO" 12 "b" 1 416 "expt"
"4121" "EC" "EC" 24002 "SOSS" "SO" 12 "c" 1 149 "expt"
"4122" "EC" "EC" 24002 "SOSS" "SO" 12 "d" 1 130 "expt"
"4123" "EC" "EC" 24002 "SOSS" "SO" 12 "e" 1 116 "expt"
"4124" "EC" "EC" 24002 "SOSS" "SO" 12 "f" 1 NA "expt"
"4125" "EC" "EC" 24002 "SOSS" "SO" 13 "a" 1 432 "expt"
"4126" "EC" "EC" 24002 "SOSS" "SO" 13 "b" 1 293 "expt"
"4127" "EC" "EC" 24002 "SOSS" "SO" 13 "c" 1 118 "expt"
"4128" "EC" "EC" 24002 "SOSS" "SO" 13 "d" 1 277 "expt"
"4129" "EC" "EC" 24002 "SOSS" "SO" 13 "e" 1 163 "expt"
"4130" "EC" "EC" 24002 "SOSS" "SO" 13 "f" 1 NA "expt"
"4131" "EC" "EC" 24002 "SOSS" "SO" 14 "a" 1 469 "expt"
"4132" "EC" "EC" 24002 "SOSS" "SO" 14 "b" 1 416 "expt"
"4133" "EC" "EC" 24002 "SOSS" "SO" 14 "c" 1 101 "expt"
"4134" "EC" "EC" 24002 "SOSS" "SO" 14 "d" 1 172 "expt"
"4135" "EC" "EC" 24002 "SOSS" "SO" 14 "e" 1 218 "expt"
"4136" "EC" "EC" 24002 "SOSS" "SO" 14 "f" 1 NA "expt"
"4137" "EC" "EC" 24002 "SOSS" "SO" 15 "a" 1 205 "expt"
"4138" "EC" "EC" 24002 "SOSS" "SO" 15 "b" 1 445 "expt"
"4139" "EC" "EC" 24002 "SOSS" "SO" 15 "c" 1 235 "expt"
"4140" "EC" "EC" 24002 "SOSS" "SO" 15 "d" 1 183 "expt"
"4141" "EC" "EC" 24002 "SOSS" "SO" 15 "e" 1 258 "expt"
"4142" "EC" "EC" 24002 "SOSS" "SO" 15 "f" 1 NA "expt"
"4143" "EC" "EC" 24002 "SOSS" "SO" 16 "a" 1 351 "expt"
"4144" "EC" "EC" 24002 "SOSS" "SO" 16 "b" 1 269 "expt"
"4145" "EC" "EC" 24002 "SOSS" "SO" 16 "c" 1 71 "expt"
"4146" "EC" "EC" 24002 "SOSS" "SO" 16 "d" 1 104 "expt"
"4147" "EC" "EC" 24002 "SOSS" "SO" 16 "e" 1 331 "expt"
"4148" "EC" "EC" 24002 "SOSS" "SO" 16 "f" 1 NA "expt"
